unique_id,age,sex,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,exclusion_incomplete_scale_a,bfi_mean_a,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,exclusion_incomplete_scale_c,bfi_mean_c,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,exclusion_incomplete_scale_e,bfi_mean_e,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,exclusion_incomplete_scale_n,bfi_mean_n,bfi_o1,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,bfi_o10,exclusion_incomplete_scale_o,bfi_mean_o,exclude_impossible_values,d_score,exclusion_incomplete_trials_IAT,exclusion_IAT_performance,exclusion_IAT_accuracy,exclude_participant
440109,46,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,6,5,6,3,3,5,5,5,5,include,4.777777777777778,2,2,2,4,2,4,2,3,include,2.625,3,4,6,4,3,5,2,4,include,3.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,include,-0.3998360512190347,include,include,include,include
355243,27,male,4,4,4,4,4,5,5,4,4,include,4.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,4,5,5,6,4,5,4,5,3,3,include,4.4,include,-0.3434216186309965,include,include,include,include
214625,20,female,2,4,4,4,5,6,4,5,5,include,4.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,4,4,4,6,4,4,3,4,5,4,include,4.2,include,-0.3807108630693079,include,include,include,include
214148,20,male,1,4,6,4,4,2,5,3,3,include,3.5555555555555554,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,3,6,4,4,4,4,2,4,5,2,include,3.8,include,0.11637294476883331,include,include,include,include
213400,29,female,5,4,6,3,5,6,5,6,5,include,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,2,4,4,5,2,3,3,4,1,2,include,3,include,-0.2559084153616312,include,include,include,include
216503,33,female,4,5,1,2,4,2,4,3,5,include,3.3333333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,4,6,5,5,4,5,5,6,3,5,include,4.8,include,0.21209069738980843,include,include,include,include
369479,28,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,5,4,5,2,3,6,4,6,3,include,4.222222222222222,6,4,4,5,5,5,4,6,include,4.875,2,2,4,5,3,2,1,5,include,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,include,-0.15485518453796526,include,include,include,include
220525,33,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,6,5,5,3,5,6,6,6,3,include,5,6,3,3,5,3,6,1,5,include,4,4,5,5,4,4,6,4,2,include,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,include,0.17211157816499234,include,include,include,include
225948,23,male,3,5,4,3,2,3,4,3,5,include,3.5555555555555554,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,5,6,5,5,5,6,4,6,6,5,include,5.3,include,-0.5165614475236541,include,include,include,include
227399,16,male,2,3,2,3,4,1,3,1,2,include,2.3333333333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,NA,3,6,5,3,2,4,3,5,3,5,include,3.9,include,0.10128785747529007,include,include,include,include
